Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;18.0;16.0;7.0;0.5185185185185185;1.0;0.5517241379310345;0.35;2.0;2.5714285714285716;2.2857142857142856;1.0;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.7698630136986301;0.1917808219178082;0.03561643835616438;0.0027397260273972603;0.0;3.0
5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;8.0;16.0;7.0;0.8235294117647058;1.0;0.8421052631578947;0.7;2.0;1.1428571428571428;2.2857142857142856;1.0;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.8487179487179487;0.14102564102564102;0.007692307692307693;0.002564102564102564;0.0;3.0
5.0;0.0;0.0;0.0;1.0;0.0;0.17647058823529413;0.0;1.0;14.0;8.0;16.0;24.0;0.4117647058823529;0.32;0.4444444444444444;0.8888888888888888;1.75;1.0;2.0;3.0;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.8132678132678133;0.13513513513513514;0.04914004914004914;0.002457002457002457;0.0;1.0
2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8;14.0;20.0;16.0;21.0;0.6086956521739131;0.8333333333333334;0.64;0.8076923076923077;1.0;1.4285714285714286;1.1428571428571428;1.5;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8084577114427861;0.14925373134328357;0.022388059701492536;0.0;0.01990049751243781;2.0
5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;14.0;5.0;25.0;7.0;0.6086956521739131;0.35714285714285715;1.0;0.4375;2.8;1.0;5.0;1.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;1.1666666666666667;0.0;1.0;0.0;1.0;0.781038374717833;0.17381489841986456;0.020316027088036117;0.006772009029345372;0.01805869074492099;1.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;8.0;17.0;0.875;0.8823529411764706;1.0;0.8947368421052632;1.75;1.875;1.0;2.125;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8378378378378378;0.14864864864864866;0.0045045045045045045;0.0045045045045045045;0.0045045045045045045;1.0
3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.07142857142857142;0.0;14.0;29.0;17.0;17.0;0.4827586206896552;0.9666666666666667;0.5483870967741935;0.53125;1.0;2.0714285714285716;1.2142857142857142;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8279569892473119;0.13548387096774195;0.03225806451612903;0.002150537634408602;0.002150537634408602;0.0
2.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;21.0;12.0;6.0;17.0;0.75;0.631578947368421;0.3;0.5483870967741935;3.5;2.0;1.0;2.8333333333333335;2.3333333333333335;0.8333333333333334;1.0;2.8333333333333335;0.0;1.0;1.0;0.0;0.8247863247863247;0.1282051282051282;0.029914529914529916;0.0;0.017094017094017096;2.0
3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5;0.0;6.0;17.0;17.0;17.0;0.6666666666666666;0.85;0.8095238095238095;0.7727272727272727;1.0;2.8333333333333335;2.8333333333333335;2.8333333333333335;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.861995753715499;0.12101910828025478;0.010615711252653927;0.0;0.006369426751592357;0.0
2.0;1.0;0.0;0.0;0.0;1.0;0.2;0.0;0.0;19.0;6.0;6.0;17.0;0.95;0.5454545454545454;0.5;0.7391304347826086;3.1666666666666665;1.0;1.0;2.8333333333333335;2.3333333333333335;0.8333333333333334;1.0;2.8333333333333335;0.0;1.0;1.0;0.0;0.8669527896995708;0.11587982832618025;0.012875536480686695;0.0;0.004291845493562232;1.0
2.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;15.0;7.0;6.0;17.0;0.8823529411764706;0.875;0.6666666666666666;0.85;2.5;1.1666666666666667;1.0;2.8333333333333335;2.3333333333333335;0.8333333333333334;1.0;2.8333333333333335;0.0;1.0;1.0;0.0;0.896049896049896;0.08731808731808732;0.006237006237006237;0.010395010395010396;0.0;1.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;5.0;6.0;17.0;1.0;1.0;1.0;1.0;2.8;1.0;1.2;3.4;2.3333333333333335;0.8333333333333334;1.0;2.8333333333333335;0.0;1.0;1.0;0.0;0.896887159533074;0.08365758754863813;0.0;0.0019455252918287938;0.017509727626459144;1.0
