Family;Qsize_R1;Qsize_R2;Cur_Charge_comparable_R1;Cur_Charge_comparable_R2;Exp_Charge__R1;Exp_Charge__R2;Exp_ChargeRates_R1;Exp_ChargeRates_R2;Exp_Charge__comparable_R1;Exp_Charge__comparable_R2;Eff_Gross_R1;Eff_Gross_R2;predFamilies_R1;predFamilies_R2;Cell%__c1;Cell%__c2;Cell%__c3;Selected_Resource_encoded_0;Selected_Resource_encoded_1
3.0;5.0;15.0;0.0;1.0;0.0;1.0;0.2179487179487179;0.825;0.0;1.0;0.75;1.25;1.0;0.0;1.0;0.0;0.0;1;0
1.0;4.0;15.0;0.0;1.0;0.0;1.0;0.2531645569620253;0.8227848101265823;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.9733333333333334;0.0;0.0266666666666666;0;1
3.0;4.0;16.0;0.0;1.0;0.0;1.0;0.2098765432098765;0.8313253012048193;0.0;1.0;0.75;1.25;1.0;0.0;0.975;0.0;0.025;1;0
3.0;5.0;16.0;0.0;1.0;0.0;1.0;0.238095238095238;0.8023255813953488;0.0;1.0;0.75;1.25;1.0;0.0;0.9759036144578314;0.0;0.0240963855421686;1;0
5.0;6.0;15.0;0.0;1.0;0.0;1.0;0.2560975609756097;0.7682926829268293;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.963855421686747;0.0120481927710843;0.0240963855421686;1;0
4.0;7.0;15.0;0.0;1.0;0.0;1.0;0.2988505747126437;0.7471264367816092;0.0;1.0;0.8;0.8;0.0;0.0;0.9651162790697676;0.0116279069767441;0.0232558139534883;1;0
1.0;7.0;15.0;0.0;1.0;0.0;1.0;0.3333333333333333;0.7272727272727273;0.0;1.0;1.2;0.8;0.0;1.0;0.9767441860465116;0.0;0.0232558139534883;0;1
2.0;7.0;16.0;0.0;1.0;0.0;1.0;0.3;0.7444444444444445;0.0;1.0;0.8;0.8;0.0;0.0;0.9772727272727272;0.0;0.0227272727272727;1;0
5.0;8.0;16.0;0.0;1.0;0.0;1.0;0.3225806451612903;0.6989247311827957;0.0;1.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.978494623655914;0.0;0.021505376344086;1;0
4.0;8.0;16.0;0.0;1.0;0.0;1.0;0.3404255319148936;0.7021276595744681;0.0;1.0;0.8;0.8;0.0;0.0;0.989010989010989;0.0109890109890109;0.0;0;1
3.0;8.0;16.0;0.0;1.0;0.0;1.0;0.3298969072164948;0.7216494845360825;0.0;1.0;0.8333333333333334;0.8333333333333334;0.0;0.0;1.0;0.0;0.0;0;1
5.0;8.0;17.0;0.0;1.0;0.0;1.0;0.28125;0.7319587628865979;0.0;1.0;0.5;1.0;1.0;0.0;0.9895833333333334;0.0;0.0104166666666666;1;0
5.0;8.0;17.0;0.0;1.0;0.0;1.0;0.2842105263157894;0.7291666666666666;0.0;1.0;0.5;1.0;1.0;0.0;1.0;0.0;0.0;1;0
1.0;9.0;16.0;0.0;1.0;0.0;1.0;0.3195876288659793;0.7422680412371134;0.0;1.0;0.8571428571428571;0.8571428571428571;0.0;0.0;0.978494623655914;0.0;0.021505376344086;0;1
5.0;9.0;17.0;0.0;1.0;0.0;1.0;0.2653061224489796;0.7474747474747475;0.0;1.0;0.5;1.0;1.0;0.0;0.9797979797979798;0.0;0.0202020202020202;1;0
