Family;Qsize_R6;Qsize_R7;Qsize_R8;Qsize_R9;Cur_Charge_comparable_R6;Cur_Charge_comparable_R7;Cur_Charge_comparable_R8;Cur_Charge_comparable_R9;Exp_Charge__R6;Exp_Charge__R7;Exp_Charge__R8;Exp_Charge__R9;Exp_ChargeRates_R6;Exp_ChargeRates_R7;Exp_ChargeRates_R8;Exp_ChargeRates_R9;Exp_Charge__comparable_R6;Exp_Charge__comparable_R7;Exp_Charge__comparable_R8;Exp_Charge__comparable_R9;Eff_Gross_R6;Eff_Gross_R7;Eff_Gross_R8;Eff_Gross_R9;predFamilies_R6;predFamilies_R7;predFamilies_R8;predFamilies_R9;Cell%__c1;Cell%__c2;Cell%__c3;Cell%__c4;Cell%__c5;Selected Resource
1.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;1.0;7.0;15.0;6.0;24.0;0.5;0.6;0.375;0.8888888888888888;1.1666666666666667;2.5;1.0;4.0;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.8875598086124402;0.06220095693779904;0.023923444976076555;0.009569377990430622;0.01674641148325359;0.0
2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;17.0;15.0;16.0;10.0;0.85;0.7142857142857143;0.7272727272727273;0.7692307692307693;1.7;1.5;1.6;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.894484412470024;0.07673860911270983;0.014388489208633094;0.007194244604316547;0.007194244604316547;3.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;15.0;6.0;21.0;0.5;0.7894736842105263;0.6;1.0;1.0;3.75;1.5;5.25;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.909297052154195;0.07256235827664399;0.009070294784580499;0.0045351473922902496;0.0045351473922902496;0.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;7.0;1.0;1.0;1.0;1.0;2.0;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.9130434782608695;0.08043478260869565;0.0;0.0;0.006521739130434782;3.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;15.0;6.0;20.0;0.5714285714285714;0.8333333333333334;0.6666666666666666;1.0;1.0;3.75;1.5;5.0;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.9056603773584906;0.07756813417190776;0.006289308176100629;0.0;0.010482180293501049;0.0
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;15.0;6.0;17.0;1.0;0.9375;0.8571428571428571;0.9444444444444444;1.0;3.0;1.2;3.4;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.913135593220339;0.08050847457627118;0.00211864406779661;0.0;0.00423728813559322;0.0
2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;16.0;7.0;1.0;1.0;1.0;1.0;2.0;2.142857142857143;2.2857142857142856;1.0;1.75;1.875;2.0;0.875;0.0;0.0;0.0;1.0;0.9075268817204301;0.07741935483870968;0.0;0.004301075268817204;0.010752688172043012;3.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;15.0;6.0;22.0;0.4444444444444444;0.75;0.5454545454545454;1.0;1.0;3.75;1.5;5.5;0.8;3.0;1.2;3.4;1.0;0.0;1.0;0.0;0.9201680672268907;0.06722689075630252;0.01050420168067227;0.0;0.0021008403361344537;0.0
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;5.0;16.0;17.0;1.0;1.0;1.0;1.0;2.8;1.0;3.2;3.4;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8909090909090909;0.09898989898989899;0.0;0.010101010101010102;0.0;0.0
4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;5.0;16.0;17.0;1.0;0.5555555555555556;0.8;0.8095238095238095;1.6;1.0;3.2;3.4;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8716356107660456;0.12008281573498965;0.008281573498964804;0.0;0.0;1.0
4.0;0.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.0;0.0;6.0;8.0;16.0;17.0;0.6666666666666666;0.8;0.7619047619047619;0.7727272727272727;1.0;1.3333333333333333;2.6666666666666665;2.8333333333333335;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.879746835443038;0.10970464135021098;0.010548523206751054;0.0;0.0;0.0
4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;5.0;16.0;17.0;1.0;0.7142857142857143;0.8888888888888888;0.8947368421052632;1.2;1.0;3.2;3.4;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8969298245614035;0.08771929824561403;0.0043859649122807015;0.010964912280701754;0.0;0.0
4.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;5.0;16.0;17.0;1.0;1.0;1.0;1.0;1.0;1.25;4.0;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.891156462585034;0.07029478458049887;0.0;0.0045351473922902496;0.034013605442176874;0.0
3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0;15.0;16.0;17.0;1.0;0.8333333333333334;0.8421052631578947;0.85;1.1333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.8555798687089715;0.10722100656455143;0.006564551422319475;0.002188183807439825;0.028446389496717725;2.0
4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0;5.0;27.0;17.0;0.26666666666666666;0.3125;1.0;0.6071428571428571;1.0;1.25;6.75;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8561797752808988;0.09887640449438202;0.024719101123595506;0.0044943820224719105;0.015730337078651686;0.0
4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;5.0;21.0;17.0;0.4444444444444444;0.5;1.0;0.7727272727272727;1.0;1.25;5.25;4.25;0.8;1.0;3.2;3.4;1.0;1.0;0.0;0.0;0.8913043478260869;0.09178743961352658;0.012077294685990338;0.004830917874396135;0.0;0.0
5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;15.0;17.0;17.0;0.9333333333333333;0.9375;1.0;0.9444444444444444;1.0;1.0714285714285714;1.2142857142857142;1.2142857142857142;0.9333333333333333;1.0;1.0666666666666667;1.1333333333333333;0.0;0.0;0.0;0.0;0.9256410256410257;0.06666666666666667;0.002564102564102564;0.0;0.005128205128205128;1.0
4.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;22.0;16.0;17.0;0.36363636363636365;1.0;0.6956521739130435;0.7083333333333334;1.0;5.5;4.0;4.25;0.8;3.0;3.2;3.4;1.0;0.0;0.0;0.0;0.8668341708542714;0.09798994974874371;0.017587939698492462;0.0;0.017587939698492462;0.0
5.0;0.0;0.0;0.0;0.0;0.4;1.0;0.0;0.0;16.0;10.0;16.0;17.0;0.7619047619047619;0.8333333333333334;0.6956521739130435;0.7083333333333334;1.6;1.0;1.6;1.7;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8419753086419753;0.12839506172839507;0.01728395061728395;0.0;0.012345679012345678;1.0
5.0;0.0;1.0;0.0;0.0;0.1111111111111111;1.0;0.0;0.0;15.0;14.0;16.0;17.0;0.625;0.9333333333333333;0.6153846153846154;0.6296296296296297;1.0714285714285714;1.0;1.1428571428571428;1.2142857142857142;2.3333333333333335;0.8333333333333334;2.6666666666666665;2.8333333333333335;0.0;1.0;0.0;0.0;0.8432835820895522;0.12189054726368159;0.024875621890547265;0.0;0.009950248756218905;1.0
3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;14.0;15.0;6.0;17.0;1.0;1.0;1.0;1.0;2.3333333333333335;2.5;1.0;2.8333333333333335;2.0;2.142857142857143;0.8571428571428571;2.4285714285714284;0.0;0.0;1.0;0.0;0.8735955056179775;0.10112359550561797;0.0;0.0;0.025280898876404494;2.0
